Código modular,Nombre de IE,Nivel / Modalidad,Gestión / Dependencia,Dirección de IE,Departamento / Provincia / Distrito,Alumnos (Censo educativo 2019),Docentes (Censo educativo 2019),Secciones (Censo educativo 2019)
1772672,501432 PAPA FRANCISCO I,Secundaria,Pública - En convenio,KUMUNCANCHA SECTOR KUMUNCANCHA,Cusco / Quispicanchi / Ocongate,20,1,1
1772847,JOHANN CARL FRIEDRICH GAUSS,Secundaria,Privada - Particular,AVENIDA PROLONGACION MARIANO SANTOS S/N MZ Q LOTE 6,Cusco / Quispicanchi / Urcos,31,9,5
1773027,CCORAHUA,Secundaria,Privada - Particular,MZ 5 LOTE C,Cusco / Anta / Anta,96,8,5
1773035,JESUS ALBERTO RODRIGUEZ FIGUEROA,Secundaria,Pública - Sector Educación,CALLE JUAN PEREZ MARIN S/N,Cusco / Urubamba / Urubamba,34,3,2
1773407,INNOVA SCHOOLS - HUANCARO,Secundaria,Privada - Particular,AVENIDA SUCRE S/N MZ B LOTE A -B-C-D ZONA B,Cusco / Cusco / Santiago,56,11,2
1773415,JESUS ES MI MAESTRO,Secundaria,Privada - Particular,AVENIDA DE LA CULTURA S/N MZ F LOTE 9,Cusco / Cusco / San Sebastian,29,7,3
1773456,56605,Secundaria,Pública - Sector Educación,PHINAYA,Cusco / Espinar / Espinar,21,4,3
1773464,501304,Secundaria,Pública - Sector Educación,OSCCOLLO,Cusco / Espinar / Condoroma,25,4,4
1774835,HUAYNA,Secundaria,Privada - Particular,CALLE 15 DE NOMVEMBRE MZ B LOTE 9 SECTOR TAWANTINSUYO,Cusco / Paucartambo / Huancarani,2,4,1
1777150,50743,Secundaria,Pública - Sector Educación,SIHUA,Cusco / Calca / Coya,7,1,1
1784131,501370,Secundaria,Pública - Sector Educación,MANITINKIARI,Cusco / La Convención / Villa Kintiarina,,,
1784552,MARIA MONTESSORI,Secundaria,Privada - Particular,JIRON OLLANTAY S/N MZ R2 LOTE 8-9 SECTOR LA VICTORIA,Cusco / La Convención / Pichari,,,
1786540,50726,Secundaria,Pública - En convenio,MATORIATO,Cusco / La Convención / Echarate,,,
1786573,SAN JUAN INNOVA SCHOOL,Secundaria,Privada - Particular,CALLE MIRIAFLORES 203 MZ T1 LOTE 10,Cusco / Chumbivilcas / Santo Tomas,,,
1786698,CRFA APU AUSANGATE PUKARUMI,Secundaria,Pública - Sector Educación,PUKARUMI SECTOR PUKARUMI,Cusco / Quispicanchi / Ocongate,,,
1787183,KANCHAY ÑAN,Secundaria,Privada - Particular,SECTOR CHONTAYOC,Cusco / La Convención / Santa Teresa,,,
1400092,JOSE MARIA ARGUERAS ALTAMIRANO,Secundaria,Pública - Sector Educación,PLAZA PRINCIPAL,Huancavelica / Huancavelica / Yauli,149,17,8
1400324,JOSE CARLOS MARIATEGUI,Secundaria,Pública - Sector Educación,PARQUE PLAZA PRINCIPAL S/N,Huancavelica / Huancavelica / Acoria,44,8,5
1400340,AGROPECUARIO JOSE ENCINAS FRANCO,Secundaria,Pública - Sector Educación,PLAZA PRINCIPAL S/N,Huancavelica / Huancavelica / Yauli,67,8,5
1400365,CESAR VALLEJO MENDOZA,Secundaria,Pública - Sector Educación,LAUCAPAMPA S/N,Huancavelica / Huancavelica / Acoria,93,8,5
1400399,JOSE CARLOS MARIATEGUI,Secundaria,Pública - Sector Educación,PLAZA PRINCIPAL S/N,Huancavelica / Huancavelica / Yauli,50,9,5
1400407,DANIEL HERNANDEZ,Secundaria,Pública - Sector Educación,JIRON JOSE GALVEZ S/N,Huancavelica / Huancavelica / Yauli,89,9,5
1402841,FRANCISCO BOLOGNESI CERVANTES,Secundaria,Pública - Sector Educación,PLAZA PRINCIPAL S/N,Huancavelica / Acobamba / Rosario,47,10,5
1403518,FRANCISCO BOLOGNESI CERVANTES,Secundaria,Pública - Sector Educación,PLAZA PRINCIPAL,Huancavelica / Angaraes / Congalla,120,13,6
1403526,LOS LIBERTADORES,Secundaria,Pública - Sector Educación,CCOCHAPATA,Huancavelica / Angaraes / Lircay,191,18,9
1405745,AUGUSTO SALAZAR BONDY,Secundaria,Pública - Sector Educación,CUYOCC,Huancavelica / Churcampa / Anco,81,8,5
1405752,VICTOR GAMARRA AYALA,Secundaria,Pública - Sector Educación,LAYAMPAMPA S/N,Huancavelica / Churcampa / San Pedro de Coris,34,8,5
1405729,MIGUEL GRAU,Secundaria,Pública - Sector Educación,MILLPO,Huancavelica / Churcampa / Chinchihuasi,68,8,5
511071,JOSE CARLOS MARIATEGUI,Secundaria,Pública - Sector Educación,AVENIDA LOS LIBERTADORES S/N,Huancavelica / Huaytará / Pilpichaca,141,20,10
1059955,TECNICO AGROPECUARIO ARTESANAL,Secundaria,Pública - Sector Educación,PARQUE PLAZA PRINCIPAL S/N,Huancavelica / Huaytará / Pilpichaca,96,9,5
275636,SAN JUAN BAUTISTA,Secundaria,Pública - Sector Educación,AVENIDA EL SOL 230,Huancavelica / Huaytará / Huaytara,203,21,10
553404,ELEODORO BELLIDO BRAVO,Secundaria,Pública - Sector Educación,CALLE MUNICIPALIDAD S/N,Huancavelica / Huaytará / Quito-arma,52,10,5
1059567,SANTA TERESITA,Secundaria,Pública - Sector Educación,CALLE ALTA S/N,Huancavelica / Huaytará / Huayacundo Arma,23,10,5
581256,JOSE MARIA ARGUEDAS,Secundaria,Pública - Sector Educación,AVENIDA PERU S/N,Huancavelica / Huaytará / San Antonio de Cusicancha,50,10,5
581223,SANTA ROSA,Secundaria,Pública - Sector Educación,AVENIDA ALAMEDA S/N,Huancavelica / Huaytará / Tambo,34,10,5
608539,NIÑO JESUS,Secundaria,Pública - Sector Educación,AVENIDA LIBERTADORES S/N,Huancavelica / Huaytará / Ayavi,35,9,5
275644,JUAN PABLO VIZCARDO Y GUZMAN,Secundaria,Pública - Sector Educación,AVENIDA SAN FELIPE S/N,Huancavelica / Huaytará / Santiago de Chocorvos,52,9,5
1105733,JOSE CARLOS MARIATEGUI,Secundaria,Pública - Sector Educación,AVENIDA MARIATEGUI S/N,Huancavelica / Huaytará / Santo Domingo de Capillas,37,10,5
687921,ANDRES AVELINO CACERES,Secundaria,Pública - Sector Educación,PARQUE PLAZA PRINCIPAL S/N,Huancavelica / Huaytará / Santiago de Chocorvos,21,8,5
687939,PEDRO PABLO ATUSPARIA,Secundaria,Pública - Sector Educación,AVENIDA GENERAL CORDOVA S/N,Huancavelica / Huaytará / Santiago de Chocorvos,38,8,5
275610,CESAR VALLEJO,Secundaria,Pública - Sector Educación,FUNDO VALENCIA,Huancavelica / Huaytará / Córdova,36,9,5
687947,LIBERTADOR SIMON BOLIVAR,Secundaria,Pública - Sector Educación,CARRETERA YERBABUENAYOCC S/N,Huancavelica / Huaytará / San Isidro,34,10,5
801597,SAN FRANCISCO DE ASIS,Secundaria,Pública - Sector Educación,PARQUE PLAZA PRINCIPAL S/N,Huancavelica / Huaytará / Querco,57,10,5
1059724,QUIRAHUARA,Secundaria,Pública - Sector Educación,PARQUE PLAZA PRINCIPAL S/N,Huancavelica / Huaytará / Santiago de Quirahuara,23,9,5
1059583,CELESTINO MANCHEGO MUÑOZ,Secundaria,Pública - Sector Educación,AVENIDA PLAZA PRINCIPAL S/N,Huancavelica / Huaytará / Ocoyo,24,8,5
1105931,MANUEL GONZALES PRADA,Secundaria,Pública - Sector Educación,PARQUE PLAZA PRINCIPAL S/N,Huancavelica / Huaytará / San Antonio de Cusicancha,106,16,7
1105899,INMACULADA CONCEPCION,Secundaria,Pública - Sector Educación,JIRON SAYHUACHA S/N,Huancavelica / Huaytará / Laramarca,39,8,5
1105972,SAN FRANCISCO,Secundaria,Pública - Sector Educación,PARQUE PLAZA PRINCIPAL S/N,Huancavelica / Huaytará / San Francisco de Sangayaico,45,10,5
1406461,PACOMARCA,Secundaria,Pública - Sector Educación,PACOMARCA,Huancavelica / Huaytará / Ocoyo,45,9,5
1406479,SANTA ROSA DE ACORA,Secundaria,Pública - Sector Educación,SANTA ROSA DE ACORA,Huancavelica / Huaytará / San Francisco de Sangayaico,24,9,5
217281,DANIEL HERNANDEZ,Secundaria,Pública - Sector Educación,JIRON MANCO CAPAC 152,Huancavelica / Tayacaja / Pampas,508,61,30
372805,NUESTRA SEÑORA DE LOURDES,Secundaria,Pública - En convenio,JIRON PROGRESO 551,Huancavelica / Tayacaja / Pampas,562,46,23
373225,NUESTRA SEÑORA DE LA ASUNCION,Secundaria,Pública - Sector Educación,CARRETERA HUANCAYO - HUANCAVELICA KM. 38,Huancavelica / Tayacaja / Acostambo,167,21,10
637314,JOSE MARIA ARGUEDAS ALTAMIRANO,Secundaria,Pública - Sector Educación,JIRON ALFONSO UGARTE S/N,Huancavelica / Tayacaja / Acraquia,210,30,15
1060052,JOSE ANTONIO ENCINAS,Secundaria,Pública - Sector Educación,PLAZA PRINCIPAL S/N,Huancavelica / Tayacaja / Acraquia,64,12,5
600361,MI PERU,Secundaria,Pública - Sector Educación,CALLE MANCHEGO MUÑOZ S/N,Huancavelica / Tayacaja / Ahuaycha,85,10,5
687772,SAN MIGUEL,Secundaria,Pública - Sector Educación,AVENIDA MANUEL TORRES S/N,Huancavelica / Tayacaja / Ahuaycha,126,16,7
373266,SANTIAGO ANTUNEZ DE MAYOLO,Secundaria,Pública - Sector Educación,CALLE SAN JUAN XXIII,Huancavelica / Tayacaja / Colcabamba,350,41,40
600395,CIRO ALEGRIA BAZAN,Secundaria,Pública - Sector Educación,JIRON LOS LIBERTADORES S/N,Huancavelica / Tayacaja / Colcabamba,41,9,5
687731,MICAELA BASTIDAS PUYUCAHUA,Secundaria,Pública - Sector Educación,AVENIDA SANTIAGO ANTUNEZ MAYOLO,Huancavelica / Tayacaja / Quichuas,200,21,10
743310,CESAR VALLEJO MENDOZA,Secundaria,Pública - Sector Educación,JIRON SIMON BOLIVAR S/N,Huancavelica / Tayacaja / Colcabamba,64,8,5
743328,CARLOS AUGUSTO SALAVERRY,Secundaria,Pública - Sector Educación,ANDAYMARCA,Huancavelica / Tayacaja / Andaymarca,137,10,6
1059377,RICARDO PALMA,Secundaria,Pública - Sector Educación,CALLE SAN ISIDRO S/N,Huancavelica / Tayacaja / Colcabamba,66,8,5
1059419,ENRIQUETA SAMANEZ DE HERMOZA,Secundaria,Pública - Sector Educación,AVENIDA SAN JULIAN,Huancavelica / Tayacaja / Colcabamba,206,24,12
743302,TUPAC AMARU II,Secundaria,Pública - Sector Educación,PASAJE TUPAC AMARU S/N,Huancavelica / Tayacaja / Daniel Hernández,86,17,7
687871,MARISCAL CACERES,Secundaria,Pública - Sector Educación,BARRIO MOYOBAMBA,Huancavelica / Tayacaja / Santiago de Tucuma,109,12,5
499269,AUGUSTO SALAZAR BONDY,Secundaria,Pública - Sector Educación,AVENIDA HUANCAVELICA S/N,Huancavelica / Tayacaja / Huaribamba,76,13,5
580381,SANTIAGO,Secundaria,Pública - Sector Educación,JIRON AREQUIPA S/N,Huancavelica / Tayacaja / Pichos,144,16,8
1059617,MANUEL COVEÑAS NAQUICHE,Secundaria,Pública - Sector Educación,AVENIDA MANUEL MARTICORENA S/N,Huancavelica / Tayacaja / Huaribamba,78,10,6
1059658,SAN JOSE,Secundaria,Pública - Sector Educación,JIRON MARISCAL CASTILLA S/N,Huancavelica / Tayacaja / Ñahuimpuquio,97,16,7
373258,RAUL PORRAS BARRENECHEA,Secundaria,Pública - Sector Educación,AVENIDA BOLIVAR 460,Huancavelica / Tayacaja / Pazos,187,23,11
697664,SAN LUCAS,Secundaria,Pública - Sector Educación,TONGOS,Huancavelica / Tayacaja / Pazos,72,7,5
1059930,MANUEL SCORZA TORRES,Secundaria,Pública - Sector Educación,MULLACA,Huancavelica / Tayacaja / Pazos,67,9,5
600429,JOSE CARLOS MARIATEGUI,Secundaria,Pública - Sector Educación,PLAZA PRINCIPAL S/N,Huancavelica / Tayacaja / Salcabamba,110,9,6
697680,JORGE BASADRE GROHMANN,Secundaria,Pública - Sector Educación,PLAZA PRINCIPAL,Huancavelica / Tayacaja / Salcabamba,78,11,5
1106657,DIVINO MAESTRO,Secundaria,Privada - Particular,JIRON LA MAR 598,Huancavelica / Tayacaja / Pampas,74,8,5
1229129,JESUS DE BELEN,Secundaria,Privada - Particular,JIRON LIMA 217,Huancavelica / Tayacaja / Pampas,117,11,5
489906,SAN PEDRO,Secundaria,Pública - Sector Educación,CALLE PRINCIPAL S/N,Huancavelica / Tayacaja / Surcubamba,139,20,10
687814,PNP (R) NAVIO COMUN GAVILAN,Secundaria,Pública - Sector Educación,PLAZA PRINCIPAL,Huancavelica / Tayacaja / Surcubamba,117,13,6
687822,VICTOR RAUL HAYA DE LA TORRE,Secundaria,Pública - Sector Educación,CALLE PRINCIPAL S/N,Huancavelica / Tayacaja / Surcubamba,69,8,5
580415,SANTA ROSA,Secundaria,Pública - Sector Educación,AVENIDA AUGUSTO HINOSTROZA ARROYO S/N,Huancavelica / Tayacaja / Huachocolpa,202,24,12
580449,SEBASTIAN LORENTE IBAÑEZ,Secundaria,Pública - Sector Educación,AVENIDA 13 DE JUNIO S/N,Huancavelica / Tayacaja / Huachocolpa,96,10,5
637520,SAN JOSE,Secundaria,Pública - Sector Educación,PLAZA PRINCIPAL,Huancavelica / Tayacaja / Tintay Puncu,99,17,8
580043,DANIEL ALCIDES CARRION,Secundaria,Pública - Sector Educación,CALLE PRINCIPAL S/N,Huancavelica / Tayacaja / Salcahuasi,102,12,5
580050,JOSE SANTOS CHOCANO,Secundaria,Pública - Sector Educación,CALLE PRINCIPAL S/N,Huancavelica / Tayacaja / Salcahuasi,107,11,5
687798,RAMON CASTILLA,Secundaria,Pública - Sector Educación,BARRIO PALOMA RUMI,Huancavelica / Tayacaja / San Marcos de Rocchac,41,8,5
1058148,ANDRES AVELINO CACERES,Secundaria,Pública - Sector Educación,CALLE MANCO CAPAC S/N,Huancavelica / Tayacaja / Salcabamba,86,7,5
1058189,SANTA CRUZ,Secundaria,Pública - Sector Educación,PLAZA PRINCIPAL S/N,Huancavelica / Tayacaja / Tintay Puncu,104,8,5
569756,7 DE JUNIO,Secundaria,Pública - Sector Educación,AVENIDA HUANCAYO S/N,Huancavelica / Tayacaja / San Marcos de Rocchac,56,8,5
1059708,JUAN VELAZCO ALVARADO,Secundaria,Pública - Sector Educación,PLAZA PRINCIPAL S/N,Huancavelica / Tayacaja / San Marcos de Rocchac,110,15,7
687806,SIMON BOLIVAR,Secundaria,Pública - Sector Educación,PLAZA PRINCIPAL,Huancavelica / Tayacaja / Tintay Puncu,92,11,10
1407386,CASAY,Secundaria,Pública - Sector Educación,PLAZA PRINCIPAL,Huancavelica / Tayacaja / Pampas,58,9,5
1407428,ANDRES AVELINO CACERES,Secundaria,Pública - Sector Educación,PLAZA PRINCIPAL,Huancavelica / Tayacaja / Quichuas,75,8,5
1407436,ALEJANDRO TOLEDO MANRIQUE,Secundaria,Pública - Sector Educación,AVENIDA MARISCAL CACERES S/N,Huancavelica / Tayacaja / Quishuar,92,13,6
1407469,BERTOLT BRECHT,Secundaria,Pública - Sector Educación,CARRETERA A PAMPAS KM 20,Huancavelica / Tayacaja / Pazos,68,9,5
1407493,CARLOS NORIEGA JIMENEZ,Secundaria,Pública - Sector Educación,BARRIO SAN JULIAN,Huancavelica / Tayacaja / Colcabamba,39,8,5
1407592,MARISCAL CACERES,Secundaria,Pública - Sector Educación,JIRON JOSE OLAYA S/N,Huancavelica / Tayacaja / Daniel Hernández,476,48,25
1408863,JOSE GALVEZ EGUSQUIZA,Secundaria,Pública - Sector Educación,AVENIDA CONVENTO S/N,Huancavelica / Tayacaja / Roble,134,10,8
1059898,JOSE CARLOS MARIATEGUI,Secundaria,Pública - Sector Educación,PLAZA PRINCIPAL,Huancavelica / Tayacaja / Andaymarca,63,7,5
1407477,JESUS DE NAZARET,Secundaria,Pública - Sector Educación,PLAZA PRINCIPAL,Huancavelica / Tayacaja / Salcahuasi,49,6,5
421263,MARISCAL AGUSTIN GAMARRA,Secundaria,Pública - Sector Educación,PROLONGACION SUCRE S/N,Huancavelica / Huancavelica / Huando,245,32,15
697631,FRANCISCO BOLOGNESI,Secundaria,Pública - Sector Educación,JIRON SAN FRANCISCO S/N S/N,Huancavelica / Huancavelica / Huando,109,15,7
1106467,LA UNION,Secundaria,Pública - Sector Educación,CARRETERA LLALLAS ALTA S/N,Huancavelica / Huancavelica / Huando,77,18,8
1401397,JUAN VELASCO ALVARADO,Secundaria,Pública - Sector Educación,PLAZA PRINCIPAL S/N,Huancavelica / Huancavelica / Huando,92,13,8
1407683,MARISCAL CASTILLA,Secundaria,Pública - Sector Educación,PLAZA PRINCIPAL,Huancavelica / Tayacaja / Quichuas,94,11,5
1407931,SANTA ISABEL,Secundaria,Pública - Sector Educación,PLAZA PRINCIPAL,Huancavelica / Tayacaja / Salcahuasi,86,8,5
1407949,SANTA CRUZ,Secundaria,Pública - Sector Educación,PLAZA RPINCIPAL,Huancavelica / Tayacaja / Huaribamba,82,8,5
1408038,INGENIERIA,Secundaria,Privada - Particular,AVENIDA PROGRESO 296,Huancavelica / Tayacaja / Pampas,21,11,5
1408111,CESAR VALLEJO,Secundaria,Pública - Sector Educación,PLAZA PRINCIPAL,Huancavelica / Tayacaja / Salcabamba,88,7,5
421255,FRANCISCA DIEZ CANSECO DE CASTILLA,Secundaria,Pública - Sector Educación,PARQUE PLAZOLETA BOLOGNESI S/N,Huancavelica / Huancavelica / Huancavelica,1371,74,44
421396,RAMON CASTILLA Y MARQUESADO,Secundaria,Pública - Sector Educación,PROLONGACION CELESTINO MANCHEGO 1550,Huancavelica / Huancavelica / Huancavelica,310,53,26
637132,CESAR VALLEJO MENDOZA,Secundaria,Pública - Sector Educación,PLAZA PRINCIPAL S/N,Huancavelica / Huancavelica / Huancavelica,89,14,6
715961,MICAELA BASTIDAS PUYUCAHUA,Secundaria,Pública - Sector Educación,JIRON CASTROVIRREYNA S/N,Huancavelica / Huancavelica / Huancavelica,413,34,22
1058353,ISOLINA CLOTET DE FERNANDINI,Secundaria,Pública - Sector Educación,AVENIDA AUGUSTO B LEGUIA 335,Huancavelica / Huancavelica / Huancavelica,245,24,20
1060185,COOPERATIVO,Secundaria,Privada - Particular,JIRON AGUSTIN GAMARRA 210,Huancavelica / Huancavelica / Huancavelica,271,8,10
552232,SAN MARTIN DE PORRES,Secundaria,Pública - Sector Educación,PLAZA PRINCIPAL S/N,Huancavelica / Huancavelica / Yauli,352,47,20
697649,VICTOR RAUL HAYA DE LA TORRE,Secundaria,Pública - Sector Educación,PLAZA PRINCIPAL,Huancavelica / Huancavelica / Yauli,243,18,13
829754,ANTONIO RAYMONDI,Secundaria,Pública - Sector Educación,PLAZA PRINCIPAL S/N,Huancavelica / Huancavelica / Yauli,132,22,10
829663,JOSE OLAYA BALANDRA,Secundaria,Pública - Sector Educación,PLAZA PRINCIPAL S/N,Huancavelica / Huancavelica / Yauli,89,9,5
1058080,ANDRES AVELINO CACERES,Secundaria,Pública - Sector Educación,DOS DE MAYO S/N,Huancavelica / Huancavelica / Yauli,47,9,5
1058122,MARIANO MELGAR VALDIVIESO,Secundaria,Pública - Sector Educación,PLAZA PRINCIPAL S/N,Huancavelica / Huancavelica / Yauli,133,21,10
1059906,JAVIER HERAUD PEREZ,Secundaria,Pública - Sector Educación,CHOPCCA PAMPA,Huancavelica / Acobamba / Paucara,156,18,8
430280,GERMAN CARO RIOS,Secundaria,Pública - Sector Educación,AVENIDA MONTERRICO S/N,Huancavelica / Huancavelica / Yauli,130,12,8
1106145,ANDRES BELLO,Secundaria,Pública - Sector Educación,PERU S/N,Huancavelica / Huancavelica / Yauli,233,23,10
1106269,LOS ANGELES DE CCARAHUASA,Secundaria,Pública - Sector Educación,PLAZA PRINCIPAL S/N,Huancavelica / Huancavelica / Yauli,112,14,7
525626,RICARDO PALMA,Secundaria,Pública - Sector Educación,JIRON PORVENIR S/N,Huancavelica / Huancavelica / Huachocolpa,174,21,10
1059682,DANIEL ALCIDEZ CARRION,Secundaria,Pública - Sector Educación,PARQUE PLAZA PRINCIPAL S/N,Huancavelica / Huancavelica / Yauli,101,9,5
421289,JOSE GALVEZ EGUSQUIZA,Secundaria,Pública - Sector Educación,BAYLON,Huancavelica / Huancavelica / Acoria,167,21,10
537803,LEONCIO PRADO GUTIERREZ,Secundaria,Pública - Sector Educación,JIRON ANDRES AVELINO CACERES S/N,Huancavelica / Huancavelica / Acoria,134,24,12
600338,RICARDO PALMA,Secundaria,Pública - Sector Educación,CHIRAUPAMPA S/N,Huancavelica / Huancavelica / Acoria,118,16,8
637165,SIMON BOLIVAR,Secundaria,Pública - Sector Educación,PLAZA PRINCIPAL S/N,Huancavelica / Huancavelica / Acoria,125,17,11
637199,CIRO ALEGRIA BAZAN,Secundaria,Pública - Sector Educación,PCCECHCAYOCC S/N,Huancavelica / Huancavelica / Acoria,65,11,6
687749,MANUEL SCORZA TORRES,Secundaria,Pública - Sector Educación,AVENIDA JUAN VELASCO ALVARADO S/N,Huancavelica / Huancavelica / Acoria,55,9,6
687855,7 DE JUNIO,Secundaria,Pública - Sector Educación,VISTA ALEGRE S/N,Huancavelica / Huancavelica / Acoria,85,13,6
746974,TECNICO AGROPECUARIO SILVA,Secundaria,Pública - Sector Educación,PLAZA PRINCIPAL S/N,Huancavelica / Huancavelica / Acoria,136,20,9
421420,JOSE SANTOS CHOCANO,Secundaria,Pública - Sector Educación,PLAZA PRINCIPAL S/N,Huancavelica / Huancavelica / Acoria,49,10,6
1059716,ALIANZA ANDINO,Secundaria,Pública - Sector Educación,PLAZA PRINCIPAL,Huancavelica / Huancavelica / Acoria,74,8,5
1106509,SERGIO QUIJADA JARA,Secundaria,Pública - Sector Educación,PLAZA PRINCIPAL S/N,Huancavelica / Huancavelica / Acoria,122,11,6
1059401,JOSE ANTONIO ENCINAS FRANCO,Secundaria,Pública - Sector Educación,PLAZA PRINCIPAL S/N,Huancavelica / Huancavelica / Acoria,38,9,5
1060128,SAN IGNACIO DE LOYOLA,Secundaria,Pública - Sector Educación,CARRETERA HUANCAVELICA-HUANCAYO S/N,Huancavelica / Huancavelica / Acoria,129,16,10
421339,SAN MIGUEL,Secundaria,Pública - Sector Educación,UMAS S/N,Huancavelica / Huancavelica / Moya,73,14,6
421347,SAN JUAN BAUTISTA,Secundaria,Pública - Sector Educación,PLAZA PRINCIPAL S/N,Huancavelica / Huancavelica / Vilca,105,7,5
535310,JULIO CESAR TELLO ROJAS,Secundaria,Pública - Sector Educación,CALLE JULIO CESAR TELLO S/N,Huancavelica / Huancavelica / Vilca,45,8,5
551036,JOSE CARLOS MARIATEGUI,Secundaria,Pública - Sector Educación,CARRETERA VILCA - HUANCAYO S/N,Huancavelica / Huancavelica / Vilca,73,9,5
535419,SAN FRANCISCO,Secundaria,Pública - Sector Educación,CALLE PROGRESO S/N,Huancavelica / Huancavelica / Huayllahuara,56,8,5
421362,TUPAC AMARU,Secundaria,Pública - Sector Educación,PASAJE INGENIO PAMPA S/N,Huancavelica / Huancavelica / Palca,159,23,11
1059831,JOSE MARIA ARGUEDAS,Secundaria,Pública - Sector Educación,AVENIDA HUANCAVELICA-HUANCAYO KM 42,Huancavelica / Huancavelica / Palca,71,12,5
747089,JAVIER HERAUD,Secundaria,Pública - Sector Educación,AVENIDA HUANCAYO S/N,Huancavelica / Huancavelica / Palca,44,8,5
535013,DANIEL ALCIDES CARRION,Secundaria,Pública - Sector Educación,QUINTA VILLENA S/N,Huancavelica / Huancavelica / Mariscal Cáceres,150,19,8
421305,MANUEL ASCENCIO SEGURA,Secundaria,Pública - Sector Educación,AVENIDA ANDRES AVELINO CACERES 485,Huancavelica / Huancavelica / Izcuchaca,173,22,11
571760,MANUEL GONZALES PRADA,Secundaria,Pública - Sector Educación,JIRON DOS DE MAYO 336,Huancavelica / Huancavelica / Nuevo Occoro,118,20,10
421313,SANTIAGO ANTUNEZ DE MAYOLO,Secundaria,Pública - Sector Educación,IRCUN PAMPA S/N,Huancavelica / Huancavelica / Conayca,65,8,5
637439,INDOAMERICA,Secundaria,Pública - Sector Educación,CALLE ALFONZO UGARTE S/N,Huancavelica / Huancavelica / Cuenca,51,9,5
687764,ALFONSO UGARTE,Secundaria,Pública - Sector Educación,AVENIDA LOS ANDES S/N,Huancavelica / Huancavelica / Pilchaca,53,9,5
1106384,JOSE CARLOS MARIATEGUI,Secundaria,Pública - Sector Educación,JIRON CAJAMARCA S/N,Huancavelica / Huancavelica / Cuenca,101,13,6
571737,DOS DE MAYO,Secundaria,Pública - Sector Educación,AVENIDA 23 DE JUNIO S/N,Huancavelica / Huancavelica / Laria,63,12,5
637405,LOS ANDES,Secundaria,Pública - Sector Educación,CALLE AMAZONAS S/N,Huancavelica / Huancavelica / Laria,27,8,5
535211,SAN JOSE ACOBAMBILLA,Secundaria,Pública - Sector Educación,CONDORAY S/N,Huancavelica / Huancavelica / Acobambilla,49,8,5
535112,MIGUEL GRAU SEMINARIO,Secundaria,Pública - Sector Educación,PLAZA PRINCIPAL,Huancavelica / Huancavelica / Acobambilla,55,9,5
551531,CESAR VALLEJO MENDOZA,Secundaria,Pública - Sector Educación,AVENIDA VILLA UNION S/N,Huancavelica / Huancavelica / Acobambilla,63,9,5
551630,AGUSTO SALAZAR BONDY,Secundaria,Pública - Sector Educación,CALLE MICAELA BASTIDAS S/N,Huancavelica / Huancavelica / Manta,72,9,5
1059781,ANDRES AVELINO CACERES,Secundaria,Pública - Sector Educación,PUYTUPAMPA,Huancavelica / Huancavelica / Manta,71,9,5
1400829,CELESTINO MANCHEGO MUÑOZ,Secundaria,Pública - Sector Educación,PANTION PAMPA S/N,Huancavelica / Huancavelica / Acoria,56,8,5
1058437,SAN CRISTOBAL,Secundaria,Pública - Sector Educación,JIRON HUAYNA CAPAC 530,Huancavelica / Huancavelica / Huancavelica,140,11,7
1400084,CESAR VALLEJO,Secundaria,Privada - Particular,JIRON SEBASTIAN BARRANCA S/N,Huancavelica / Huancavelica / Huancavelica,92,14,5
1400159,JOSE CARLOS MARIATEGUI,Secundaria,Pública - Sector Educación,PLAZA PRINCIPAL S/N,Huancavelica / Huancavelica / Huancavelica,53,7,5
1400175,SANTA ISABEL,Secundaria,Pública - Sector Educación,CARRETERA HVCA-HYO S/N,Huancavelica / Huancavelica / Huancavelica,73,9,5
421248,LA VICTORIA DE AYACUCHO,Secundaria,Pública - Sector Educación,JIRON HILDAURO CASTRO S/N,Huancavelica / Huancavelica / Ascensión,1276,86,51
1058312,AMERICA,Secundaria,Pública - Sector Educación,CALLE SANTOS VILLA S/N,Huancavelica / Huancavelica / Ascensión,190,20,10
1104413,SEMINARIO SAN JUAN MARIA VIANNEY,Secundaria,Pública - En convenio,AVENIDA ANDRES AVELINO CACERES 790,Huancavelica / Huancavelica / Huancavelica,156,11,7
1400142,FRANCISCO IZQUIERDO RIOS,Secundaria,Pública - Sector Educación,CARRETERA HUANCAVELICA LIRCAY S/N,Huancavelica / Huancavelica / Yauli,69,8,5
1058395,TERESA DE LA CRUZ,Secundaria,Privada - Parroquial,JIRON NICOLAS DE PIEROLA 603,Huancavelica / Huancavelica / Huancavelica,78,9,5
1105865,JUAN VELASCO ALVARADO,Secundaria,Pública - Sector Educación,PLAZA PRINCIPAL S/N,Huancavelica / Huancavelica / Acoria,27,7,5
1400845,ANDRES AVELINO CACERES,Secundaria,Pública - Sector Educación,PLAZA PRINCIPAL S/N,Huancavelica / Huancavelica / Acoria,53,8,5
1400001,JORGE BASADRE GROHMANN,Secundaria,Pública - Sector Educación,PLAZA PRINCIPAL S/N,Huancavelica / Huancavelica / Yauli,84,12,5
1400225,JULIO CESAR TELLO,Secundaria,Pública - Sector Educación,CALLE BOLIVAR S/N MZ G LOTE 11,Huancavelica / Huancavelica / Yauli,97,9,5
