1466192,0167 CARLOS MIGUEL RAMIREZ SALDAÑA
1070119,0168 AMISTAD PERU JAPON
901009,0171 01 JUAN VELASCO ALVARADO
901124,0171 02
1598788,019 ISABEL SALINAS CUENCA DE ESPINOZA
1411123,0194 TEODOCIA NAVARRO VEGA
1137231,020 HILARIO CARRASCO VINCES
1406115,0204 JOSELITO LOPEZ TIRADO
1238252,0206 ISAAC NEWTON
1593417,0207 FERNANDO BELAUNDE TERRY
1018852,0208 SANTIAGO ANTUNEZ DE MAYOLO
657908,021 WILFREDO A. RICARDI CARRASCO
1592443,0214 VICTOR RAUL HAYA DE LA TORRE
337741,022 REPUBLICA DE GUATEMALA
1593854,0236 NUEVO SACANCHE
1451392,0238 MANCO CAPAC
1783117,0242 BENJAMIN TORRES TORRES
1239417,0243 JOSE ALEXANDER RENGIFO GONZALES
1753094,0247 CONRADO CABALLERO DEL CASTILLO
667857,025 REPUBLICA DE ECUADOR
1371079,0250 LOS HEROES DE ARICA
1096049,0255 LAMAS
1096643,0276 JESUS MORI LOPEZ
603266,0287 ROBINSON FLORES LOPEZ
498998,03 ANTENOR RIZO PATRON LEQUERICA
537084,0302 AMADEO ZUMAETA V.
1590843,0304 MARIO VARGAS LLOSA
537589,0309 TUPAC AMARU II
1137439,031 VIRGEN DEL CARMEN
1343409,0313 VISTA ALEGRE
1402148,0331 ISHICHIHUI
733311,035 HORACIO ZEVALLOS GAMEZ
1123900,0358 DANIEL ALCIDES CARRION GARCIA
1593235,0376 MARIANO MELGAR VALDIVIEZO
1406149,038 SANTOS MAXIMINA MOGOLLON ALVARADO
1402155,0383 CASHNAHUASI
1397496,0398 EDUARDO PEÑA MEZA
1019256,0407 HEROES DEL CENEPA
467126,042 ALIPIO ROSALES CAMACHO
1351873,0421 PABLO FASANANDO DE DIOS
848085,0425 CESAR VALLEJO
1079805,0426 INMACULADA CONCEPCION
1079847,0427 JOSE C.MARIATEGUI LA CHIRA
1137959,043 RICARDO PALMA
576629,0430 SIMON BOLIVAR PALACIOS
1727643,0433 LUISA ALIAGA GONZALES
1238450,0434 DESIDERIO RUIZ SOTO
1238690,0435 JOSE BERNARDO ALCEDO RETUERTO
616458,044 JOSE CARLOS MAREATEGUI
1238773,0444 JUAN PABLO II
1239334,0445 FRANCISCO JAVIER PASTOR RAMOS
1529544,0448 HECTOR SAAVEDRA DEL CASTILLO
1205640,0456 HORACIO ZEBALLOS GAMEZ
725523,046 LOS LIBERTADORES DE AYACUCHO
613232,046 PAUL HARRIS
449868,046 VICTOR RAUL HAYA DE LA TORRE
1594555,0463 GUSTAVO RIVERA RIVERA
613208,047 DANIEL ALCIDES CARRION
1375302,0473 JOSE GALVEZ EGUSQUIZA
719955,048 SANTA ROSA DE LIMA
1585983,0481 EVA ALICIA HERMOSA PILARES
1746601,0482 CIRO SALDAÑA GIRALDO
1785567,0489 JORGE CHAVEZ DARNELL
1137991,050 NUESTRA SEÑORA DE LAS MERCEDES
1137033,051 VIRGEN DE FATIMA
1347392,0523 LUISA DEL CARMEN DEL AGUILA SANCHEZ
1590876,0542 NUEVO PACAYPAMPA
1275874,055 FIDEL OYOLA ROMERO
1592427,0560 ISABEL FLORES DE OLIVA
1402122,0573 ALTO ROQUE
1774272,0576 - BILINGÜE
1599430,058 SIFREDO ZUÑIGA QUINTOS
726521,0582 BLAISE PASCAL
547729,0588 JUAN GUILLERMO CASTILLO DELGADO
847392,0600 AUGUSTO SALAZAR BONDY
1656461,0639 JORGE BASADRE GROHMANN
1079888,0641 RICARDO PALMA SORIANO
1144948,066 MIGUEL GRAU
273763,0663 PABLO CHAVEZ VILLAVERDE
1079961,0670 JORGE BASADRE GROHMANN
1371046,0678 JUAN PINCHI URQUIA
1531474,0697 JOSE CARLOS MARIATEGUI
1018977,0700 SAN JUAN BAUTISTA
1389709,0705 JUANITA DEL CARMEN SANCHEZ ROJAS
273581,0707 EMILIO SAN MARTIN
1095926,0711 JORGE BASADRE GROHOMAN
1322437,0713 NUEVO CHANCHAMAYO
1402130,0714 PUCACACA
449819,072 SAN MARTIN DE PORRES
1400795,0726 ARMANDO MORENO PEREZ
725960,0750 ELSA PEREA FLORES
535096,0751 JAIME H. ROJAS CHAVEZ
273862,0752 JOSE HERACLIDES VELA VASQUEZ
537688,0753 LUIS A.GOMEZ GONZALES
1096288,0754 JOSE ABRAHAM RAMIREZ HERNANDEZ
548719,0755 HORACIO ZEVALLOS GAMEZ
537480,0757 ALFONSO UGARTE
1018936,0758 RICARDO PALMA
726315,0759 FRANCISCO BOLOGNESI
726323,0760 JOSE OLAYA BALANDRA
273870,0763 CABO EJERCITO PERUANO SANTIAGO TAPULLIMA PASHANASI
1590884,0765 JOSE ANTONIO ENCINAS FRANCO
726299,0766 RUBEN CACHIQUE SANGAMA
536987,0767 BUENOS AIRES
761031,0771 JOSE FAUSTINO SANCHEZ CARRION
548818,0772 JOSE F. SANCHEZ CARRION
1096528,0773 VIRGEN DEL PERPETUO SOCORRO
502195,0774 MARIANO LORENZO MELGAR VALDIVIESO
1188994,0777 MANUEL SCORZA
1080670,0778 MANUEL ROMERO SEMINARIO
1315944,0788 NUEVO MUNDO
733386,080 PETRA VARGAS DE ORDOÑEZ
1137082,091 MARIA PARADO DE BELLIDO
1143577,093 EFRAIN ARCAYA ZEVALLOS
449827,093 MANUELA FELICIA GOMEZ
733360,098 EL GRAN CHILIMASA
1401645,1
802041,1 DE MAYO
372839,10 DE ABRIL DE 1882
1718196,10 DE AGOSTO
1659374,10 DE OCTUBRE
900704,100
577031,100 MANUEL CATALINO FARIAS MORAN
632471,1001 JOSE JIMENEZ BORJA
510396,1003 REPUBLICA DE COLOMBIA
1225408,10030
753244,10032 JULIO ARMAS LOYOLA
709907,10035 JORGE Y ENRIQUE PISFIL VILLALOBOS
1744994,10037
709493,10042 MONSEÑOR JUAN TOMIS STACK
1671296,1005
1158708,10051 SAN MARTIN DE THOURS
1159029,10053 JAVIER PEREZ DE CUELLAR
1159045,10054
582940,10061
710061,10062 SAN JUAN DE KAÑARIS
580498,10063 CRUZ DE YANAHUANCA
710095,10064
1770924,10065
1767235,10067
582973,10068
1724475,10070
672543,10071
1539907,10073
1197250,10076
1329143,10077
669598,10078
582486,10080 MOYAN
669622,10081 ALEJANDRO AUSBERTO CORONEL SAAVEDRA
621912,10082 SAGRADO CORAZON DE JESUS
843870,10083 INDOAMERICA
467084,10084
1352442,10085
1464197,10086
1197532,10087 NUESTRA SEÑORA VIRGEN DEL CARMEN
1494228,10090
1771153,10091
1469360,10092 JESUSQA KAWSAQ YAKU
669564,10094 ROSA MURO GUEVARA DE BARRAGAN
709881,10103
452599,10106 JUAN MANUEL ITURREGUI
452656,10110 SARA ANTONIETA BULLON LAMADRID
1224047,10116 SEÑOR NAZARENO CAUTIVO
620310,10117 CRUZ DE PUMACIRCA
1659556,1012
1158211,10124 NUESTRA SEÑORA DE LOURDES
1158054,10134 FRAY MARTIN DE PORRES
